2025-06-19 14:43:39 | T1 | frame 7 | tentativa 1
2025-06-19 14:43:40 | T2 | frame 1 | tentativa 1
2025-06-19 14:43:42 | T2 | frame 2 | tentativa 1
2025-06-19 14:43:43 | T2 | frame 3 | tentativa 1
2025-06-19 14:43:54 | T1 | frame 35 | tentativa 1
2025-06-19 14:43:56 | T2 | frame 6 | tentativa 1
2025-06-19 14:43:56 | T1 | frame 36 | tentativa 1
2025-06-19 14:43:57 | T2 | frame 7 | tentativa 1
2025-06-19 14:43:59 | T1 | frame 38 | tentativa 1
2025-06-19 14:43:59 | T2 | frame 8 | tentativa 1
2025-06-19 14:43:59 | T1 | frame 38 | tentativa 2
2025-06-19 14:44:09 | T1 | frame 38 | tentativa 3
2025-06-19 14:44:18 | T1 | frame 38 | tentativa 4
2025-06-19 14:44:27 | T1 | frame 38 | tentativa 5
