2025-06-19 14:43:36 | T1 | frame 0 | tentativas 1
2025-06-19 14:43:37 | T1 | frame 1 | tentativas 1
2025-06-19 14:43:37 | T1 | frame 2 | tentativas 1
2025-06-19 14:43:37 | T1 | frame 3 | tentativas 1
2025-06-19 14:43:38 | T1 | frame 4 | tentativas 1
2025-06-19 14:43:38 | T1 | frame 5 | tentativas 1
2025-06-19 14:43:39 | T1 | frame 6 | tentativas 1
2025-06-19 14:43:39 | T2 | frame 0 | tentativas 1
2025-06-19 14:43:40 | T1 | frame 7 | tentativas 2
2025-06-19 14:43:41 | T1 | frame 8 | tentativas 1
2025-06-19 14:43:41 | T2 | frame 1 | tentativas 2
2025-06-19 14:43:42 | T1 | frame 9 | tentativas 1
2025-06-19 14:43:42 | T2 | frame 2 | tentativas 2
2025-06-19 14:43:43 | T1 | frame 10 | tentativas 1
2025-06-19 14:43:44 | T1 | frame 11 | tentativas 1
2025-06-19 14:43:44 | T1 | frame 12 | tentativas 1
2025-06-19 14:43:44 | T1 | frame 13 | tentativas 1
2025-06-19 14:43:45 | T1 | frame 14 | tentativas 1
2025-06-19 14:43:45 | T1 | frame 15 | tentativas 1
2025-06-19 14:43:46 | T1 | frame 16 | tentativas 1
2025-06-19 14:43:46 | T1 | frame 17 | tentativas 1
2025-06-19 14:43:47 | T1 | frame 18 | tentativas 1
2025-06-19 14:43:47 | T1 | frame 19 | tentativas 1
2025-06-19 14:43:47 | T1 | frame 20 | tentativas 1
2025-06-19 14:43:48 | T1 | frame 21 | tentativas 1
2025-06-19 14:43:48 | T1 | frame 22 | tentativas 1
2025-06-19 14:43:49 | T1 | frame 23 | tentativas 1
2025-06-19 14:43:49 | T1 | frame 24 | tentativas 1
2025-06-19 14:43:49 | T1 | frame 25 | tentativas 1
2025-06-19 14:43:50 | T1 | frame 26 | tentativas 1
2025-06-19 14:43:50 | T1 | frame 27 | tentativas 1
2025-06-19 14:43:51 | T1 | frame 28 | tentativas 1
2025-06-19 14:43:51 | T1 | frame 29 | tentativas 1
2025-06-19 14:43:52 | T1 | frame 30 | tentativas 1
2025-06-19 14:43:52 | T1 | frame 31 | tentativas 1
2025-06-19 14:43:52 | T1 | frame 32 | tentativas 1
2025-06-19 14:43:53 | T1 | frame 33 | tentativas 1
2025-06-19 14:43:53 | T2 | frame 3 | tentativas 2
2025-06-19 14:43:54 | T1 | frame 34 | tentativas 1
2025-06-19 14:43:54 | T2 | frame 4 | tentativas 1
2025-06-19 14:43:55 | T2 | frame 5 | tentativas 1
2025-06-19 14:43:55 | T1 | frame 35 | tentativas 2
2025-06-19 14:43:57 | T2 | frame 6 | tentativas 2
2025-06-19 14:43:57 | T1 | frame 36 | tentativas 2
2025-06-19 14:43:58 | T1 | frame 37 | tentativas 1
2025-06-19 14:43:58 | T2 | frame 7 | tentativas 2
2025-06-19 14:44:00 | T2 | frame 8 | tentativas 2
2025-06-19 14:44:00 | T2 | frame 9 | tentativas 1
2025-06-19 14:44:01 | T2 | frame 10 | tentativas 1
2025-06-19 14:44:01 | T2 | frame 11 | tentativas 1
2025-06-19 14:44:02 | T2 | frame 12 | tentativas 1
2025-06-19 14:44:02 | T2 | frame 13 | tentativas 1
2025-06-19 14:44:02 | T2 | frame 14 | tentativas 1
2025-06-19 14:44:03 | T2 | frame 15 | tentativas 1
2025-06-19 14:44:03 | T2 | frame 16 | tentativas 1
2025-06-19 14:44:04 | T2 | frame 17 | tentativas 1
2025-06-19 14:44:04 | T2 | frame 18 | tentativas 1
2025-06-19 14:44:04 | T2 | frame 19 | tentativas 1
2025-06-19 14:44:05 | T2 | frame 20 | tentativas 1
2025-06-19 14:44:05 | T2 | frame 21 | tentativas 1
2025-06-19 14:44:06 | T2 | frame 22 | tentativas 1
2025-06-19 14:44:06 | T2 | frame 23 | tentativas 1
2025-06-19 14:44:07 | T2 | frame 24 | tentativas 1
2025-06-19 14:44:07 | T2 | frame 25 | tentativas 1
2025-06-19 14:44:07 | T2 | frame 26 | tentativas 1
2025-06-19 14:44:08 | T2 | frame 27 | tentativas 1
2025-06-19 14:44:08 | T2 | frame 28 | tentativas 1
2025-06-19 14:44:09 | T2 | frame 29 | tentativas 1
2025-06-19 14:44:09 | T2 | frame 30 | tentativas 1
2025-06-19 14:44:10 | T2 | frame 31 | tentativas 1
2025-06-19 14:44:10 | T2 | frame 32 | tentativas 1
2025-06-19 14:44:11 | T2 | frame 33 | tentativas 1
2025-06-19 14:44:11 | T2 | frame 34 | tentativas 1
2025-06-19 14:44:12 | T2 | frame 35 | tentativas 1
2025-06-19 14:44:12 | T2 | frame 36 | tentativas 1
2025-06-19 14:44:12 | T2 | frame 37 | tentativas 1
2025-06-19 14:44:13 | T2 | frame 38 | tentativas 1
2025-06-19 14:44:13 | T2 | frame 39 | tentativas 1
2025-06-19 14:44:14 | T2 | frame 40 | tentativas 1
2025-06-19 14:44:14 | T2 | frame 41 | tentativas 1
2025-06-19 14:44:14 | T2 | frame 42 | tentativas 1
2025-06-19 14:44:15 | T2 | frame 43 | tentativas 1
2025-06-19 14:44:15 | T2 | frame 44 | tentativas 1
2025-06-19 14:44:16 | T2 | frame 45 | tentativas 1
2025-06-19 14:44:16 | T2 | frame 46 | tentativas 1
2025-06-19 14:44:17 | T2 | frame 47 | tentativas 1
2025-06-19 14:44:17 | T2 | frame 48 | tentativas 1
2025-06-19 14:44:17 | T2 | frame 49 | tentativas 1
2025-06-19 14:44:18 | T2 | frame 50 | tentativas 1
2025-06-19 14:44:19 | T2 | frame 51 | tentativas 1
2025-06-19 14:44:19 | T2 | frame 52 | tentativas 1
2025-06-19 14:44:19 | T2 | frame 53 | tentativas 1
2025-06-19 14:44:20 | T2 | frame 54 | tentativas 1
2025-06-19 14:44:20 | T2 | frame 55 | tentativas 1
2025-06-19 14:44:21 | T2 | frame 56 | tentativas 1
2025-06-19 14:44:21 | T2 | frame 57 | tentativas 1
2025-06-19 14:44:22 | T2 | frame 58 | tentativas 1
2025-06-19 14:44:22 | T2 | frame 59 | tentativas 1
2025-06-19 14:44:22 | T2 | frame 60 | tentativas 1
2025-06-19 14:44:23 | T2 | frame 61 | tentativas 1
2025-06-19 14:44:23 | T2 | frame 62 | tentativas 1
2025-06-19 14:44:24 | T2 | frame 63 | tentativas 1
2025-06-19 14:44:24 | T2 | frame 64 | tentativas 1
2025-06-19 14:44:24 | T2 | frame 65 | tentativas 1
2025-06-19 14:44:25 | T2 | frame 66 | tentativas 1
2025-06-19 14:44:25 | T2 | frame 67 | tentativas 1
2025-06-19 14:44:26 | T2 | frame 68 | tentativas 1
2025-06-19 14:44:26 | T2 | frame 69 | tentativas 1
